Protein_CD8,Intensity_CD8,Protein_CD4,Intensity_CD4,Protein_Platelet,Intensity_Platelet,Protein_NK,Intensity_NK,Protein_Monocyte,Intensity_Monocyte,Protein_Erythrocyte,Intensity_Erythrocyte,Protein_B cell,Intensity_B cell,Protein_Macrophage,Intensity_Macrophage,Protein_DC,Intensity_DC,Protein_Basophil,Intensity_Basophil,Protein_Eosinophil,Intensity_Eosinophil,Protein_Neutrophil,Intensity_Neutrophil
Q93088,3.65E-06,O75817,2.41E-05,,,Q9UBI6,0.000166841,,,,,P22531,0.0000203,,,,,,,,,,
P15291-2,3.65E-06,Q32MZ4-4,2.41E-05,,,P01765,0.000166967,,,,,P46939-2,0.0000205,,,,,,,,,,
O95297-3,3.66E-06,J3KN67,0.000483886,,,Q96BD5-2,0.000167985,,,,,Q96K49-2,0.0000205,,,,,,,,,,
P50461,3.68E-06,P16619,2.42E-05,,,P78423,0.000168174,,,,,Q8TB52,0.0000205,,,,,,,,,,
P01579,3.68E-06,Q9NY64,2.42E-05,,,Q8WUX1,0.000168556,,,,,Q96AY2,0.0000205,,,,,,,,,,
P19021,3.71E-06,Q8WUM9,2.42E-05,,,O75367-2,0.000168657,,,,,P09871,0.0000205,,,,,,,,,,
B5MC53,0.33175225,Q9Y587,2.42E-05,,,C9JXC6,0.000168747,,,,,Q96JM7-2,0.0000206,,,,,,,,,,
Q8N300,0.282028208,Q9NZE8,2.43E-05,,,Q9UHW9-2,0.000168854,,,,,P04629,0.0000206,,,,,,,,,,
P09172,3.75E-06,Q9NP64-3,2.44E-05,,,Q6Q788,0.000168918,,,,,E9PJN9,0.0000207,,,,,,,,,,
O00187,3.76E-06,P48060,5.44E-05,,,A0A075B6V5,0.000169764,,,,,P01031,0.0000209,,,,,,,,,,
O14917,3.78E-06,Q9NZG7,2.45E-05,,,A0A0D9SFW8,0.000170438,,,,,Q13503,0.0000209,,,,,,,,,,
Q5TC12,0.322274912,Q86X27,2.45E-05,,,Q9BPY8,0.000170459,,,,,B7XGB9,0.0000211,,,,,,,,,,
Q15113,3.81E-06,Q9Y6P5,2.45E-05,,,Q6PJT7-9,0.000171978,,,,,Q14980-2,0.0000212,,,,,,,,,,
Q9H425,3.82E-06,Q9NX47,2.45E-05,,,P54132,0.000173151,,,,,Q9Y3E2,0.0000212,,,,,,,,,,
Q96MF6,3.84E-06,Q9H116,2.45E-05,,,O14791-2,0.000173168,,,,,O60907-2,0.0000213,,,,,,,,,,
Q7Z419,3.89E-06,P19419,2.45E-05,,,Q7Z4S6-4,0.000173804,,,,,C9J406,0.0000213,,,,,,,,,,
B0AZT5,3.89E-06,Q8N1Q1,2.45E-05,,,Q9UHX1-2,0.000174411,,,,,Q96B23-2,0.0000214,,,,,,,,,,
P10276-2,3.90E-06,F2Z2U4,2.46E-05,,,Q15119,0.000174617,,,,,H7BYY1,0.0000214,,,,,,,,,,
Q9UHB6-4,0.354284629,Q9BQ48,2.46E-05,,,Q96QE2,0.000174797,,,,,Q9HAW4,0.0000214,,,,,,,,,,
P01779,0.295934001,Q10567-3,2.47E-05,,,Q6P087,0.000174984,,,,,Q9Y3C7,0.0000214,,,,,,,,,,
Q9H2D6,3.91E-06,O76024,2.47E-05,,,P51884,0.000174988,,,,,Q9ULG1,0.0000215,,,,,,,,,,
E9PNT2,0.20172063,Q92615,0.000124672,,,Q96RJ3,0.000175078,,,,,A0A087WW14,0.0000215,,,,,,,,,,
P00338,0.435436023,Q16647,2.48E-05,,,O14979-3,0.000175365,,,,,A0A0C4DH25,0.0000215,,,,,,,,,,
P60059,0.328356833,Q13201,2.48E-05,,,Q9H1U4,0.000175584,,,,,Q9HCK8,0.0000216,,,,,,,,,,
Q6P3S1-5,3.93E-06,O95971,2.49E-05,,,P11226,0.000175633,,,,,P13674,0.0000217,,,,,,,,,,
Q9Y275,3.94E-06,Q9BQ15,2.49E-05,,,Q99081,0.00017581,,,,,Q9H7J1,0.0000217,,,,,,,,,,
Q9BZW5,3.95E-06,Q8TBK6-2,2.49E-05,,,P07204,0.000176045,,,,,M0R150,0.0000217,,,,,,,,,,
Q9HB20,3.97E-06,Q14807,2.49E-05,,,Q9H2F3,0.000176081,,,,,P28715,0.0000217,,,,,,,,,,
O00159,4.02E-06,Q13822-2,2.49E-05,,,Q8NBK3,0.000176158,,,,,P0C7T5,0.0000218,,,,,,,,,,
O00258,4.04E-06,A0A087X130,2.49E-05,,,Q9NYA1-3,0.000176203,,,,,P30793,0.0000218,,,,,,,,,,
J3KNL6,0.368341272,Q8WUX2,9.62E-05,,,A0A087WWQ5,0.000176718,,,,,O75394-2,0.0000219,,,,,,,,,,
A0A0B4J220,4.06E-06,P23469-3,2.50E-05,,,P06753-5,0.00017678,,,,,Q9NVX0,0.0000219,,,,,,,,,,
Q9GZU7-2,4.06E-06,M0QYM7,2.50E-05,,,Q15306-2,0.000176888,,,,,Q96EY9,0.0000219,,,,,,,,,,
E9PN89,0.293085827,Q15011,2.50E-05,,,Q7Z3J2,0.000177208,,,,,Q8N1K5-4,0.000022,,,,,,,,,,
O75881,4.10E-06,P49642,2.51E-05,,,P00748,0.000177761,,,,,P16035,0.000022,,,,,,,,,,
Q6ZWT7,4.11E-06,Q92503,2.51E-05,,,Q9P0B6,0.000179017,,,,,O14874,0.000022,,,,,,,,,,
K7EL86,7.23E-05,Q7Z419,2.51E-05,,,P01920,0.000179113,,,,,H0YEF7,0.0000221,,,,,,,,,,
Q14643,0.343551433,P06732,2.51E-05,,,D3YTC4,0.000179221,,,,,Q8N6T7,0.0000222,,,,,,,,,,
Q8IYA6,0.292807169,Q9BRX5,2.51E-05,,,Q86Y56,0.000179451,,,,,Q9P246-2,0.0000222,,,,,,,,,,
Q16763,0.332246365,Q96N96-6,2.51E-05,,,Q86UA6,0.000179742,,,,,Q86YT9,0.0000222,,,,,,,,,,
Q6KCM7-3,4.17E-06,P51178-2,2.52E-05,,,P38398-7,0.000180227,,,,,P58511,0.0000222,,,,,,,,,,
A0A0B4J1R6,4.17E-06,Q9H228,2.52E-05,,,E9PPE9,0.000180282,,,,,I3L2J0,0.0000223,,,,,,,,,,
J3KMZ7,4.04E-05,Q92851-4,2.53E-05,,,Q9Y2R4,0.000181023,,,,,A6NFQ2,0.0000223,,,,,,,,,,
P16144-3,4.18E-06,Q9NQC3-3,2.53E-05,,,Q14246,0.000181643,,,,,Q9NZG7,0.0000223,,,,,,,,,,
P30793,0.306426378,Q9NZU5,2.53E-05,,,A0A0D9SGF6,0.00018215,,,,,Q92784,0.0000223,,,,,,,,,,
Q9NXE4-2,0.34814391,Q9UGY1,2.53E-05,,,Q8WWV3,0.000182411,,,,,Q9BSW2-2,0.0000223,,,,,,,,,,
Q9NPD8,0.334877679,P01611,2.54E-05,,,P51790-4,0.000182662,,,,,P02766,0.0000223,,,,,,,,,,
Q9H4P4,4.33E-06,P29373,2.54E-05,,,P47756-2,0.000182964,,,,,P14635,0.0000224,,,,,,,,,,
O60610,0.404630755,Q8TB72-3,2.54E-05,,,Q86X10-3,0.000183572,,,,,O76095,0.0000225,,,,,,,,,,
Q5M8T2,4.36E-06,R9R4D9,2.54E-05,,,E7EVA0,0.00018373,,,,,Q08426,0.0000227,,,,,,,,,,
D6RAV6,4.37E-06,P28562,2.54E-05,,,Q16828,0.000184198,,,,,Q14956,0.0000227,,,,,,,,,,
C9JB55,4.38E-06,P35241,2.56E-05,,,P11912,0.000184339,,,,,Q9H477,0.0000228,,,,,,,,,,
Q6U841-3,4.38E-06,P22792,2.56E-05,,,Q8NCE2-2,0.000184444,,,,,A0A087WYE1,0.0000228,,,,,,,,,,
Q8TCZ2,4.40E-06,A0A087X1U6,2.56E-05,,,O43399-2,0.000184791,,,,,Q04756,0.0000229,,,,,,,,,,
P14210,4.41E-06,A0A087WYR4,2.56E-05,,,P27701,0.000184875,,,,,P57071,0.0000229,,,,,,,,,,
Q6UX27-2,4.42E-06,E5RK69,2.57E-05,,,P23142,0.000185145,,,,,P23378,0.000023,,,,,,,,,,
O60462-5,4.42E-06,Q969M7,2.57E-05,,,Q8NHJ6,0.000185164,,,,,Q96AE4-2,0.000023,,,,,,,,,,
Q14807,0.31343248,P0DJI9,2.57E-05,,,Q8NF99,0.000185353,,,,,P30483,0.0000231,,,,,,,,,,
Q92615,0.227902146,P04070,2.58E-05,,,Q9NVR5,0.000185549,,,,,P08603,0.0000232,,,,,,,,,,
Q86Y01,4.47E-06,Q96GZ6-7,2.58E-05,,,A0A087WXI0,0.000185625,,,,,Q5TC12,0.0000232,,,,,,,,,,
P55268,4.48E-06,P41247,2.58E-05,,,O43913,0.00018589,,,,,Q9Y2X0-2,0.0000232,,,,,,,,,,
O43766,4.49E-06,O60716-3,2.59E-05,,,Q96KB5,0.000186115,,,,,Q9BPZ3,0.0000233,,,,,,,,,,
Q92496,4.49E-06,Q9Y4R8,5.19E-05,,,Q5VUM1,0.000186222,,,,,Q96RQ9,0.0000233,,,,,,,,,,
C9K0J5,4.51E-06,Q86TS9-3,2.61E-05,,,Q15493,0.000186769,,,,,A0A087WU91,0.0000233,,,,,,,,,,
P08603,0.369611796,Q02383,2.61E-05,,,Q16654,0.000187041,,,,,Q15723-4,0.0000234,,,,,,,,,,
P26927,4.55E-06,A0A075B6I9,2.61E-05,,,Q9H981,0.000187232,,,,,A0A087WWG8,0.0000235,,,,,,,,,,
Q96RF0-2,4.55E-06,Q58FG1,2.62E-05,,,Q99490-2,0.000187325,,,,,E9PF32,0.0000236,,,,,,,,,,
A0A087WTM7,4.56E-06,P07992,2.63E-05,,,Q3ZCQ8-2,0.000187645,,,,,Q8WW01,0.0000236,,,,,,,,,,
F8VWQ5,4.56E-06,Q13112,2.63E-05,,,Q12834,0.000188188,,,,,P00748,0.0000237,,,,,,,,,,
Q29940,0.320415785,Q8TBC3,2.63E-05,,,Q9BVS4,0.000188344,,,,,R4GN35,0.0000238,,,,,,,,,,
Q9P0T7,4.58E-06,Q8NF50-3,2.63E-05,,,Q6P9H5,0.000188367,,,,,Q9H0G5,0.0000239,,,,,,,,,,
O15554,4.58E-06,Q86WK7,2.63E-05,,,Q96Q07,0.000188773,,,,,P23434,0.0000239,,,,,,,,,,
P04745,4.59E-06,P54922,2.64E-05,,,Q5TI65,0.000189125,,,,,O15117-2,0.0000239,,,,,,,,,,
E9PLY5,4.60E-06,Q9NV70-2,2.64E-05,,,O95568,0.000189272,,,,,Q06413-2,0.000024,,,,,,,,,,
Q7RTU3,4.60E-06,Q70UQ0,2.64E-05,,,Q8NHY2,0.000189954,,,,,Q16566,0.0000241,,,,,,,,,,
P42680,4.61E-06,Q6SPF0,6.28E-05,,,Q92805,0.000190093,,,,,Q08477,0.0000241,,,,,,,,,,
Q9ULC3,4.64E-06,P52732,2.64E-05,,,Q5JQS6,0.000190741,,,,,Q02078-4,0.0000242,,,,,,,,,,
O14613,4.65E-06,Q9UBT6,2.65E-05,,,Q01196-11,0.00019097,,,,,Q08554-2,0.0000243,,,,,,,,,,
O96001,4.66E-06,Q86YS7-3,2.65E-05,,,Q9Y680,0.000191725,,,,,Q9UQ03,0.0000243,,,,,,,,,,
P40305,4.70E-06,Q4LE39-2,2.65E-05,,,P18077,0.000191798,,,,,Q06643,0.0000243,,,,,,,,,,
P01891,0.296595565,P05160,2.65E-05,,,O60333-2,0.000191883,,,,,P17213,0.0000244,,,,,,,,,,
Q15031,0.346918433,H7C0N4,3.66E-05,,,P01344,0.000191981,,,,,O15265-2,0.0000245,,,,,,,,,,
Q5I0X7,4.75E-06,O95229-2,2.66E-05,,,Q14CS0,0.000192374,,,,,Q9BSY4,0.0000245,,,,,,,,,,
Q15649,0.315940214,Q9NXW2,2.66E-05,,,C9JXK9,0.000192941,,,,,G5E9P4,0.0000245,,,,,,,,,,
Q9BW11-4,4.83E-06,Q92889,2.66E-05,,,Q9NZE8,0.000193188,,,,,Q14392,0.0000245,,,,,,,,,,
P31512,0.270632943,P14543,2.67E-05,,,P01593,0.000193252,,,,,P25024,0.0000246,,,,,,,,,,
F8W726,4.89E-06,P50570-4,4.14E-05,,,A0A087X0N2,0.000193422,,,,,Q9NZJ0,0.0000248,,,,,,,,,,
O14626,0.204462112,A0A075B6K4,2.68E-05,,,Q8WWA1-2,0.000193617,,,,,Q93100-4,0.0000248,,,,,,,,,,
H7C096,4.97E-06,G3V5T0,2.68E-05,,,Q5SRE7,0.000193885,,,,,Q16581,0.0000248,,,,,,,,,,
Q14669-3,0.365018973,Q8N8J7,2.68E-05,,,Q09327,0.000193985,,,,,Q8TF42,0.0000248,,,,,,,,,,
P22897,5.02E-06,Q03060-9,2.68E-05,,,Q6PCT2,0.000194243,,,,,Q9NWS8,0.0000248,,,,,,,,,,
P02747,0.340276795,P30793,2.69E-05,,,Q9UM54-6,0.000195205,,,,,Q15746,0.0000249,,,,,,,,,,
Q8TBA6-2,5.11E-06,Q9UPN9-2,2.69E-05,,,P42677,0.000195579,,,,,Q8ND82,0.0000249,,,,,,,,,,
P01130,0.309861819,A0A087WYC3,2.69E-05,,,Q15038,0.000195788,,,,,Q13009,0.0000249,,,,,,,,,,
Q9NQW7-3,0.249542309,Q9H4F1,2.69E-05,,,A0A075B6J8,0.000195963,,,,,Q9HCH5-13,0.0000251,,,,,,,,,,
G3V5P5,5.21E-06,F2Z3K5,2.70E-05,,,A0A0A0MSH9,0.000196021,,,,,P53667-4,0.0000252,,,,,,,,,,
P18583-5,0.25450348,P25105,2.70E-05,,,Q92562,0.000196195,,,,,Q8NBJ4,0.0000252,,,,,,,,,,
P84103-2,5.22E-06,P10645,2.70E-05,,,B5MD23,0.000196338,,,,,Q86U70,0.0000253,,,,,,,,,,
Q9UBF8,0.312527501,P23769,2.70E-05,,,P22570,0.000196567,,,,,Q96LZ7,0.0000253,,,,,,,,,,
A0A0A0MS12,5.29E-06,P30483,2.70E-05,,,O60229-5,0.00019757,,,,,Q01151,0.0000254,,,,,,,,,,
Q02080-2,5.30E-06,Q9Y2S0-2,2.71E-05,,,E5RJD2,0.000197613,,,,,P08651-4,0.0000255,,,,,,,,,,
Q6FIF0,5.31E-06,P56277,2.71E-05,,,M0QXB4,0.000197726,,,,,Q8NEY8-8,0.0000255,,,,,,,,,,
Q92954-3,5.34E-06,A0A0A0MT87,2.72E-05,,,Q9H3M7,0.000197932,,,,,Q8NI35,0.0000255,,,,,,,,,,
K7EKE6,0.388551737,P47974,5.75E-05,,,A0A087WWG8,0.000197954,,,,,P68543,0.0000256,,,,,,,,,,
A0A087WYR4,5.39E-06,P53539,2.72E-05,,,Q2T9J0,0.000198254,,,,,E9PLH5,0.0000257,,,,,,,,,,
Q68BL7,5.44E-06,P49771-3,2.72E-05,,,P61925,0.000198347,,,,,P49407-2,0.0000257,,,,,,,,,,
H0Y3V4,0.283688311,Q9Y5C1,2.72E-05,,,D6RA24,0.000198769,,,,,Q16514,0.0000257,,,,,,,,,,
Q14123,5.46E-06,P20061,2.73E-05,,,P13500,0.000200638,,,,,O60232,0.0000257,,,,,,,,,,
P51677,5.50E-06,P23508,2.74E-05,,,O43929,0.000201426,,,,,Q15493,0.0000257,,,,,,,,,,
Q6N043,0.276950174,Q9NYZ1,2.74E-05,,,Q04656,0.000201514,,,,,Q96RU2-2,0.000026,,,,,,,,,,
Q15645,0.224896046,Q8TB37,2.74E-05,,,Q8WU67,0.00020158,,,,,P07148,0.000026,,,,,,,,,,
P06732,5.52E-06,Q9NNX6,2.75E-05,,,Q9NRR8,0.000201773,,,,,P49761,0.0000261,,,,,,,,,,
P15848,5.54E-06,Q9H078-2,0.000142805,,,Q96BY9,0.000201926,,,,,F8VWQ5,0.0000262,,,,,,,,,,
I3L0L0,5.54E-06,P30533,2.75E-05,,,Q6J9G0,0.000202705,,,,,O75865,0.0000262,,,,,,,,,,
Q9HBD1,5.58E-06,Q8NBX0,2.75E-05,,,Q6NUK4,0.000203157,,,,,Q8TDM0-3,0.0000262,,,,,,,,,,
P04406-2,5.58E-06,Q14493,2.75E-05,,,Q96C36,0.000203173,,,,,P04085,0.0000262,,,,,,,,,,
A0A075B738,5.59E-06,Q9UEY8-2,2.76E-05,,,P01609,0.0002036,,,,,Q96G25,0.0000262,,,,,,,,,,
Q9BRJ2,0.343459253,P13501,2.76E-05,,,Q9BZD4,0.000203893,,,,,O14662-2,0.0000264,,,,,,,,,,
P49685,5.62E-06,Q13103,2.78E-05,,,K7EMS3,0.000204965,,,,,Q8IYL9,0.0000264,,,,,,,,,,
O75534-2,5.62E-06,Q96EB1,2.79E-05,,,Q9Y320,0.000205001,,,,,A0A075B6N2,0.0000265,,,,,,,,,,
Q11206,5.62E-06,Q5ZPR3,2.79E-05,,,Q53HC5,0.000205079,,,,,D3YTC4,0.0000266,,,,,,,,,,
A0A087X2C0,5.64E-06,P38398-7,2.80E-05,,,Q9Y3L3,0.000205561,,,,,Q9H3S1,0.0000266,,,,,,,,,,
P04070,0.291428373,Q14181,2.80E-05,,,Q01518-2,0.000206057,,,,,Q9BZ23-4,0.0000268,,,,,,,,,,
P43628,5.68E-06,A0A0C4DGB9,2.81E-05,,,Q8IZC7,0.00020625,,,,,Q03426,0.0000268,,,,,,,,,,
I3L468,5.70E-06,P15169,2.81E-05,,,Q9BRN9,0.000206556,,,,,Q9NQ25,0.0000269,,,,,,,,,,
Q9NZS2,5.71E-06,P30461,2.82E-05,,,Q6P4E1,0.000207025,,,,,Q8IXM2-2,0.0000269,,,,,,,,,,
Q9Y5Z9,0.309714683,O75394-2,2.82E-05,,,Q99453,0.000207211,,,,,Q5R3I4,0.0000269,,,,,,,,,,
P35609-2,5.71E-06,P12821,2.82E-05,,,Q9H7E2-3,0.000208141,,,,,O60516,0.000027,,,,,,,,,,
Q96B01,0.293942297,A0A0A0MRI1,0.00013811,,,A8MVS5,0.000209572,,,,,P49366,0.000027,,,,,,,,,,
Q8WVP5,5.72E-06,P20039,2.82E-05,,,P25325-2,0.000210035,,,,,Q9UBK7-2,0.000027,,,,,,,,,,
A0A0B4J2E8,7.83E-05,Q5VVC9,2.83E-05,,,P15151,0.000210962,,,,,Q9Y6N1,0.000027,,,,,,,,,,
C9K0D8,5.72E-06,Q92743,2.83E-05,,,Q53S58,0.00021215,,,,,Q9H1J1,0.0000273,,,,,,,,,,
A0A0C4DGP2,5.74E-06,O14975,2.84E-05,,,Q9HAU0-6,0.000212222,,,,,Q96H55,0.0000274,,,,,,,,,,
Q8N2K1-3,5.74E-06,Q8TBM7,2.84E-05,,,P29323,0.000212506,,,,,Q9BTT4,0.0000275,,,,,,,,,,
Q8NF91-4,0.376514097,A0A0C4DGV9,2.84E-05,,,P61769,0.000212809,,,,,A0A0B4J1Z7,0.0000275,,,,,,,,,,
Q7Z5L2-2,5.78E-06,A2AAZ0,2.84E-05,,,Q9P1U0,0.000212845,,,,,Q9H479,0.0000276,,,,,,,,,,
Q8N699,5.80E-06,P15260,2.85E-05,,,P01762,0.000213627,,,,,A0A0C4DFX3,0.0000276,,,,,,,,,,
F5H2Q3,5.85E-06,E9PHY5,2.85E-05,,,Q9UKA8,0.00021437,,,,,Q14181,0.0000276,,,,,,,,,,
Q9P2N6-3,5.86E-06,O00767,2.85E-05,,,G5EA36,0.000214717,,,,,Q8TAV0-3,0.0000277,,,,,,,,,,
Q99996-2,5.86E-06,Q9Y2Z0-2,0.001547177,,,Q96GD4,0.000214743,,,,,Q9H6P5,0.0000278,,,,,,,,,,
Q9HBI1-3,5.88E-06,O43766,2.86E-05,,,F6XWZ1,0.000215445,,,,,Q08380,0.0000278,,,,,,,,,,
Q5QGZ9,5.94E-06,Q9P0L0-2,2.86E-05,,,F8WC89,0.000215634,,,,,Q96MN5,0.0000278,,,,,,,,,,
H7C5D9,0.207197342,Q9Y2B9,2.86E-05,,,Q03405,0.000215835,,,,,P01610,0.000028,,,,,,,,,,
Q8NEM2,0.344156714,Q9NX57,2.86E-05,,,Q5JTV8-3,0.000216636,,,,,A0A087WXR2,0.000028,,,,,,,,,,
P04437,0.283619497,Q9NRW7,2.87E-05,,,P50221-3,0.000217438,,,,,P18847,0.000028,,,,,,,,,,
Q13557-12,6.17E-06,Q9NP99,2.87E-05,,,Q9Y2G5,0.000217592,,,,,O00142,0.000028,,,,,,,,,,
Q9P2H3-3,6.17E-06,O94782,2.87E-05,,,Q969S9,0.000218596,,,,,D3DVS1,0.0000281,,,,,,,,,,
P17812,0.250906202,Q96PV6-2,2.89E-05,,,P35658-3,0.00021883,,,,,Q8IVW6,0.0000281,,,,,,,,,,
Q86YC3,6.21E-06,H3BU88,2.89E-05,,,Q16270,0.000219036,,,,,P23297,0.0000281,,,,,,,,,,
Q9Y6P5-2,6.23E-06,Q86TB9,0.000147613,,,O96018,0.000219246,,,,,G3V394,0.0000281,,,,,,,,,,
Q8N108-12,0.342652484,Q96EW2,2.90E-05,,,Q10586,0.000219638,,,,,P08833,0.0000282,,,,,,,,,,
Q9UBL3-3,6.26E-06,O14593,2.90E-05,,,Q8NBT0-2,0.000219691,,,,,H3BPD9,0.0000283,,,,,,,,,,
H0YBI8,6.27E-06,P49841-2,2.90E-05,,,Q9H4B6,0.000219804,,,,,K7ENF0,0.0000283,,,,,,,,,,
Q9H0P0-1,6.29E-06,Q495W5-2,2.90E-05,,,J3KQL8,0.000220332,,,,,P35625,0.0000283,,,,,,,,,,
Q9Y5K5-2,0.377046986,O15392,2.91E-05,,,A0A0A0MS09,0.000220432,,,,,P42336,0.0000284,,,,,,,,,,
P18627,0.300056509,P35625,2.91E-05,,,P29590-2,0.000220537,,,,,Q86UQ4,0.0000285,,,,,,,,,,
Q9HCN6,6.38E-06,P31431,2.92E-05,,,Q9H078-2,0.00022133,,,,,P15408,0.0000285,,,,,,,,,,
Q99712,6.38E-06,Q9Y608-4,2.92E-05,,,P52849,0.000221586,,,,,Q96S15-2,0.0000288,,,,,,,,,,
Q9BVC3,0.314029096,Q8WVK7,2.93E-05,,,O75818,0.000222067,,,,,F8WAJ0,0.000029,,,,,,,,,,
Q7Z6M3,6.43E-06,G5EA36,2.93E-05,,,P04075,0.000222359,,,,,Q9P1T7,0.000029,,,,,,,,,,
Q09666-2,6.45E-06,P50281,2.94E-05,,,O60487,0.000222491,,,,,F8VYK9,0.0000294,,,,,,,,,,
Q5VYY1,6.46E-06,O14683,2.94E-05,,,Q8TED4,0.000222503,,,,,M0QY01,0.0000294,,,,,,,,,,
P01584,6.51E-06,P55210,0.00025121,,,Q9BYE7,0.000222721,,,,,Q7RTS1,0.0000295,,,,,,,,,,
Q9BRP8-2,0.294931722,P14859-2,2.94E-05,,,Q9UJV9,0.000223191,,,,,Q9H4K7,0.0000295,,,,,,,,,,
O15160,0.361105058,O15239,2.95E-05,,,O43310,0.000223212,,,,,Q95IE3,0.0000295,,,,,,,,,,
Q9Y5P4,0.335715996,P31944,2.95E-05,,,O95379-4,0.00022412,,,,,Q01082-3,0.0000296,,,,,,,,,,
Q9Y5Y7,6.62E-06,Q7Z3Q1,2.95E-05,,,P03956,0.000224258,,,,,A0A024R4K9,0.0000297,,,,,,,,,,
Q7Z3C6,0.291427982,P08651-4,2.96E-05,,,Q7L5Y1,0.000224425,,,,,Q14118,0.0000297,,,,,,,,,,
Q04726-5,6.72E-06,Q96EK7,2.97E-05,,,Q9H1C0,0.000224646,,,,,Q5SRE7,0.0000297,,,,,,,,,,
Q9GZT4,0.297122788,O95568,2.97E-05,,,Q8IUC6,0.000224729,,,,,Q9NRY6,0.0000298,,,,,,,,,,
Q8TBF4,0.303645395,O60678,2.98E-05,,,P63092,0.000224742,,,,,I3L3P1,0.0000298,,,,,,,,,,
Q16842,6.83E-06,Q13227,2.98E-05,,,Q9NV66,0.000225319,,,,,Q96PM5,0.0000298,,,,,,,,,,
P09038,6.86E-06,P04430,2.98E-05,,,Q96CN4,0.000225404,,,,,O76075,0.0000298,,,,,,,,,,
O14543,6.89E-06,Q9BTE6-3,2.98E-05,,,O75636,0.000225515,,,,,Q86TS9-3,0.0000299,,,,,,,,,,
Q6IQ20,6.90E-06,K7EQF6,2.98E-05,,,Q8WWY3-3,0.000226834,,,,,Q9Y2Y8,0.0000299,,,,,,,,,,
Q92547,0.311111542,P26232-5,2.99E-05,,,P04818,0.000226994,,,,,O75718,0.00003,,,,,,,,,,
O43314,0.338005836,H0YF29,5.17E-05,,,F2Z2U4,0.000228126,,,,,Q96P20,0.0000301,,,,,,,,,,
P30042,0.380707754,Q96D71-2,3.00E-05,,,Q66K64,0.000228335,,,,,Q9ULL5-3,0.0000301,,,,,,,,,,
P01892,0.405248073,O75881,3.00E-05,,,Q7Z3U7-6,0.000228342,,,,,Q9BRQ0,0.0000304,,,,,,,,,,
O94905,0.334905464,Q9Y3E7,3.02E-05,,,O95866-2,0.000228411,,,,,P53365,0.0000307,,,,,,,,,,
Q9UBK5,7.03E-06,Q93052,3.02E-05,,,Q9NRW7,0.000229194,,,,,P20061,0.0000308,,,,,,,,,,
A0A0B4J249,7.05E-06,P36222,3.03E-05,,,Q8WWW0-2,0.000229546,,,,,P45983-3,0.0000308,,,,,,,,,,
P01612,7.07E-06,Q9BZE9-2,3.03E-05,,,P62158,0.000229945,,,,,B5MBW9,0.0000308,,,,,,,,,,
Q8NC06-2,7.08E-06,O60271-4,8.18E-05,,,O15460-2,0.000230122,,,,,O76074,0.0000308,,,,,,,,,,
Q9Y616,7.08E-06,Q14671-2,3.03E-05,,,P37173,0.000230737,,,,,Q9NUN5,0.0000309,,,,,,,,,,
Q9P2E9-2,7.09E-06,A0A0A6YYK7,3.04E-05,,,J3KN59,0.000231596,,,,,Q53EZ4,0.000031,,,,,,,,,,
O00220,7.09E-06,Q8N0U8,3.04E-05,,,Q86Y37,0.000231797,,,,,Q13905-4,0.000031,,,,,,,,,,
Q9Y2S0-2,7.11E-06,Q96DW6,3.04E-05,,,A0A0B4J1X5,0.000231803,,,,,Q8IZC7,0.0000311,,,,,,,,,,
Q13228,7.13E-06,H0YGX7,0.000432185,,,P54253,0.000232164,,,,,H0YNH8,0.0000311,,,,,,,,,,
Q9UKE5-2,7.14E-06,Q9ULW0,3.06E-05,,,Q06609,0.000233869,,,,,Q9BV57,0.0000311,,,,,,,,,,
P31994-2,7.16E-06,Q9UGM5,3.07E-05,,,P47929,0.000234212,,,,,Q9UBP0,0.0000312,,,,,,,,,,
O60880-4,7.16E-06,Q9Y240,3.07E-05,,,Q02083-2,0.000234431,,,,,Q8N4Q0,0.0000313,,,,,,,,,,
P13693,0.386115727,P01127,3.08E-05,,,A0A576,0.000235098,,,,,Q2M296-3,0.0000313,,,,,,,,,,
F5H0B0,0.353261407,Q13303-2,3.08E-05,,,Q9P2N7,0.000235671,,,,,O43299,0.0000314,,,,,,,,,,
Q5T4T6,7.22E-06,Q9BSJ8-2,3.08E-05,,,Q99436,0.000235946,,,,,J3KMZ7,0.0000314,,,,,,,,,,
Q9BSA9,0.295261977,A0A5A5,3.09E-05,,,Q8NI36,0.000236075,,,,,P43489,0.0000315,,,,,,,,,,
P33764,7.29E-06,Q6PL18,3.09E-05,,,O43670-2,0.000236186,,,,,O43189-2,0.0000315,,,,,,,,,,
Q92771,7.39E-06,Q13443,3.10E-05,,,Q56NI9,0.000236253,,,,,Q96CD2,0.0000316,,,,,,,,,,
Q15020,0.384952743,P05000,3.10E-05,,,Q8WXB1,0.000236263,,,,,Q5T750,0.0000316,,,,,,,,,,
F8VV04,7.45E-06,O75794,3.10E-05,,,Q8NDF8-5,0.000236269,,,,,B7Z676,0.0000316,,,,,,,,,,
Q9H2A7,7.46E-06,Q96AE4-2,3.11E-05,,,P03923,0.000236302,,,,,Q96PE3-3,0.000032,,,,,,,,,,
Q03060-6,0.309243404,Q8WYL5,3.12E-05,,,P55011,0.000236425,,,,,Q9UBK5,0.000032,,,,,,,,,,
